location ,sqft_area,price,bathrooms,rooms
Bamheta,850,27.5,2 Baths,2 BHK
Raj Nagar extension,619,23,1 Bath,1 BHK
NH 24 ,1240,32,2 Baths,2 BHK
Vaishali sector 1,2200,160,4 Baths,4 BHK
NH 24,1425,60,2 Baths,2 BHK
 Siddhartha Vihar,770,45,2 Baths,2 BHK
Ahinsa khand,1110,65,2 Baths,2 BHK
 Wave City ,900,32,2 Baths,2 BHK
 Vaishali Sector 4 ,1200,110,2 Baths,2 BHK
 Mahagunpuram,1680,70,4 Baths,4 BHK
Raj Nagar extension,1300,70,2 Baths,3 BHK
Raj Nagar extension,980,33,2 Baths,2 BHK
Shalimar garden,1200,60,2 Baths,3 BHK
Crossing Republik,1655,60,2 Baths,3 BHK
Raj Nagar extension,628,22.5,1 Bath,1 BHK
Indirapuram,960,51,2 Baths,2 BHK
Shalimar garden,675,18.9,1 Bath,1 BHK
shalimar garden,900,42,2 Baths,3 BHK
Raj Nagar extension,670,24.5,1 bath,1 BHK
Raj Nagar extension,628,20.48,1 bath,1 BHK
Ankur vihar,450,11,1 bath,1 BHK
Ankur vihar,450,11.5,1 bath,1 BHK
Ankur vihar,450,12,1 bath,1 BHK
Ankur vihar,450,10.9,1 bath,1 BHK
 Wave City ,540,21,1 bath,1 BHK
Shastri Nagar,550,12.95,1 bath,1 BHK
Shakti Khand,600,19.95,1 bath,1 BHK
Vaishali sector 2,550,27.51,1 bath,1 BHK
Govindpuram,500,10.5,1 bath,1 BHK
vasundhara sector 3,580,22.9,1 bath,1 BHK
Shalimar garden,450,23,1 bath,1 BHK
Shalimar garden,550,20,1 bath,1 BHK
Shakti Khand,650,27,1 bath,1 BHK
Raj Nagar extension,875,35,1 bath,1 BHK
Crossing Republik,1525,51.05,1 bath,1 BHK
Vasundhara sector 1,650,23,1 bath,1 BHK
 Wave City ,580,20.5,1 bath,1 BHK
"Chhapraula, Ghaziabad",700,21,1 bath,1 BHK
Raj Nagar extension,1040,28.6,1 bath,2 BHK
 Ahinsa Khand 2,1255,55,1 bath,2 BHK
Crossing Republik,1063,32.72,1 bath,2 BHK
 Pilkhuwa ,670,13.33,1 bath,2 BHK
Vasundhara Sector-1 Near Amity International School,1040,28.6,1 bath,2 BHK
Raj Nagar extension,1170,32.7,1 bath,2 BHK
Vasundhara Near Vidyarthi Academy,1053,55.7,1 bath,2 BHK
Govindpuram,1084,29.58,1 bath,2 BHK
Raj Nagar extension,1120,34.16,1 bath,2 BHK
pandav nagar,1135,35.5,1 bath,2 BHK
Masuri,450,9.22,2 bath,1 BHK
NH 24,900,21.69,2 bath,2 BHK
NH 24,735,27,2 bath,2 BHK
Masuri,900,18.45,2 bath,2 BHK
Surajpur Kasna Road ,955,26,2 bath,2 BHK
"3 BHKFlat for sale, Airport Road",1906,72,2 bath,3 BHK
"Sector 1, GreaterNoida",1710,53.86,2 bath,3 BHK
"Sikka Kaamna Greens, Sector-143, Noida",1315,78.9,2 bath,2 BHK
 Siddhartha Vihar,750,10,2 bath,2 BHK
NH 24,900,26,2 bath,2 BHK
Shahberi,450,10,2 bath,1 BHK
Shahberi,883,37,2 bath,1 BHK
Indirapuram,850,42,2 bath,2 BHK
indrapuram,700,25,1 bath,1 BHK
Indirapuram,1050,52.5,2 bath,2 BHK
Indirapuram,720,38,2 bath,2 BHK
indrapuram,850,37.5,2 bath,2 BHK
vasundhara,1275,50,2 bath,3 BHK
Vaishali,950,50,2 bath,2 BHK
Indirapuram,800,34,2 bath,2 BHK
Indirapuram,1350,75,2 bath,3 BHK
